customer_id,age,location,transaction_frequency,average_transaction_value,merchant_categories,total_spend,account_age_days,preferred_payment_methods,last_transaction_date,created_at,updated_at
c95d68dd18fd65b2,31,BGC,68,2892.05,Entertainment|Shopping|Dining,179969.05,459,E-wallet Balance|Credit Card,2026-02-26T13:08:13.983798,2024-12-23T13:08:13.983805,2026-03-27T13:08:13.983807
551584efd79bf7d6,38,Taguig,96,4487.73,Entertainment|Dining|Shopping,453827.88,314,E-wallet Balance|Credit Card,2026-03-05T13:08:13.983835,2025-05-17T13:08:13.983838,2026-03-27T13:08:13.983839
f723c577c1ab0e02,35,Makati,98,3375.05,Entertainment|Dining|Shopping,354876.26,747,Credit Card|E-wallet Balance,2026-03-02T13:08:13.983862,2024-03-10T13:08:13.983864,2026-03-27T13:08:13.983865
139bb721fb863c12,33,BGC,53,3136.13,Shopping|Dining|Entertainment,186781.38,84,E-wallet Balance|Credit Card,2026-03-18T13:08:13.983888,2026-01-02T13:08:13.983890,2026-03-27T13:08:13.983891
2e2cb5aa55f1ed3b,30,BGC,74,3056.19,Entertainment|Shopping|Dining,225761.52,43,Credit Card|E-wallet Balance,2026-03-02T13:08:13.983912,2026-02-12T13:08:13.983914,2026-03-27T13:08:13.983915
fcb1d4dfbcf58347,42,BGC,50,4969.07,Entertainment|Dining|Shopping,204038.32,170,Credit Card|E-wallet Balance,2026-03-26T13:08:13.983936,2025-10-08T13:08:13.983939,2026-03-27T13:08:13.983939
75e84d06beed37cc,33,Makati,61,2966.68,Entertainment|Dining|Shopping,173781.8,616,Credit Card|E-wallet Balance,2026-03-03T13:08:13.983961,2024-07-19T13:08:13.983963,2026-03-27T13:08:13.983964
12e3955add9ca1ba,31,Makati,59,2822.27,Dining|Entertainment|Shopping,173234.48,1044,Credit Card|E-wallet Balance,2026-03-08T13:08:13.983984,2023-05-18T13:08:13.983986,2026-03-27T13:08:13.983987
b8c68bc5ba8ae7b0,36,BGC,78,2187.09,Shopping|Dining|Entertainment,202012.7,495,E-wallet Balance|Credit Card,2026-03-18T13:08:13.984008,2024-11-17T13:08:13.984010,2026-03-27T13:08:13.984011
1f17bae82289be9e,42,BGC,84,4197.96,Entertainment|Dining|Shopping,415418.22,634,E-wallet Balance|Credit Card,2026-03-15T13:08:13.984031,2024-07-01T13:08:13.984033,2026-03-27T13:08:13.984034
